Name,PM2.5,Pollution Category
Ghaziabad,19.1,1 - Very Good
Ghaziabad,18.9,1 - Very Good
Ghaziabad,17.9,1 - Very Good
Ghaziabad,25.3,1 - Very Good
Ghaziabad,31.5,2 - Good
Ghaziabad,33.2,2 - Good
Ghaziabad,33.8,2 - Good
Ghaziabad,35.0,2 - Good
Ghaziabad,35.9,2 - Good
Ghaziabad,35.6,2 - Good
Ghaziabad,36.1,2 - Good
Ghaziabad,36.1,2 - Good
Ghaziabad,35.6,2 - Good
Ghaziabad,35.3,2 - Good
Ghaziabad,35.0,2 - Good
Ghaziabad,38.0,2 - Good
Ghaziabad,43.8,2 - Good
Ghaziabad,43.5,2 - Good
Ghaziabad,38.0,2 - Good
Ghaziabad,26.9,1 - Very Good
Ghaziabad,25.3,1 - Very Good
Ghaziabad,25.7,1 - Very Good
Ghaziabad,25.3,1 - Very Good
Ghaziabad,23.4,1 - Very Good
Ghaziabad,20.3,1 - Very Good
Ghaziabad,18.0,1 - Very Good
Ghaziabad,17.9,1 - Very Good
Ghaziabad,26.8,1 - Very Good
Ghaziabad,36.2,2 - Good
Ghaziabad,37.7,2 - Good
Ghaziabad,37.3,2 - Good
Ghaziabad,39.6,2 - Good
Ghaziabad,43.9,2 - Good
Ghaziabad,46.2,2 - Good
Ghaziabad,47.8,2 - Good
Ghaziabad,48.8,2 - Good
Ghaziabad,49.2,2 - Good
Ghaziabad,48.8,2 - Good
Ghaziabad,59.6,2 - Good
Ghaziabad,57.5,2 - Good
Ghaziabad,60.3,6 - Very Poor
Ghaziabad,58.6,2 - Good
Ghaziabad,44.0,2 - Good
Ghaziabad,29.5,1 - Very Good
Ghaziabad,20.0,1 - Very Good
Ghaziabad,16.5,1 - Very Good
Ghaziabad,15.8,1 - Very Good
Ghaziabad,15.8,1 - Very Good
Ghaziabad,16.1,1 - Very Good
Ghaziabad,16.5,1 - Very Good
Ghaziabad,18.0,1 - Very Good
Ghaziabad,28.7,1 - Very Good
Ghaziabad,38.0,2 - Good
Ghaziabad,37.0,2 - Good
Ghaziabad,33.3,2 - Good
Ghaziabad,33.1,2 - Good
Ghaziabad,35.3,2 - Good
Ghaziabad,36.4,2 - Good
Ghaziabad,39.0,2 - Good
Ghaziabad,42.7,2 - Good
Ghaziabad,47.3,2 - Good
Ghaziabad,53.3,2 - Good
Ghaziabad,61.9,3 - Satisfactory
Ghaziabad,67.3,3 - Satisfactory
Ghaziabad,69.8,3 - Satisfactory
Ghaziabad,60.1,6 - Very Poor
Ghaziabad,43.1,2 - Good
Ghaziabad,26.1,1 - Very Good
Ghaziabad,21.9,1 - Very Good
Ghaziabad,20.7,1 - Very Good
Ghaziabad,19.7,1 - Very Good
Ghaziabad,18.9,1 - Very Good
Ghaziabad,18.7,1 - Very Good
Ghaziabad,18.3,1 - Very Good
Ghaziabad,19.4,1 - Very Good
Ghaziabad,24.4,1 - Very Good
Ghaziabad,29.7,1 - Very Good
Ghaziabad,30.5,6 - Very Poor
Ghaziabad,30.3,6 - Very Poor
Ghaziabad,30.9,6 - Very Poor
Ghaziabad,30.6,6 - Very Poor
Ghaziabad,29.4,1 - Very Good
Ghaziabad,28.3,1 - Very Good
Ghaziabad,27.4,1 - Very Good
Ghaziabad,27.2,1 - Very Good
Ghaziabad,27.6,1 - Very Good
Ghaziabad,28.5,1 - Very Good
Ghaziabad,36.1,2 - Good
Ghaziabad,40.7,2 - Good
Ghaziabad,41.3,2 - Good
Ghaziabad,36.0,2 - Good
Ghaziabad,29.8,1 - Very Good
Ghaziabad,22.5,1 - Very Good
Ghaziabad,20.6,1 - Very Good
Ghaziabad,20.6,1 - Very Good
Ghaziabad,20.9,1 - Very Good
Ghaziabad,21.0,1 - Very Good
Ghaziabad,21.0,1 - Very Good
Ghaziabad,18.6,1 - Very Good
Ghaziabad,23.1,1 - Very Good
Ghaziabad,28.1,1 - Very Good
Ghaziabad,30.3,6 - Very Poor
Ghaziabad,31.9,2 - Good
Ghaziabad,34.1,2 - Good
Ghaziabad,34.9,2 - Good
Ghaziabad,34.0,2 - Good
Ghaziabad,32.7,2 - Good
Ghaziabad,31.7,2 - Good
Ghaziabad,30.4,6 - Very Poor
Ghaziabad,29.2,1 - Very Good
Ghaziabad,30.7,6 - Very Poor
Ghaziabad,33.3,2 - Good
Ghaziabad,37.1,2 - Good
Ghaziabad,40.2,2 - Good
Ghaziabad,36.3,2 - Good
Ghaziabad,28.6,1 - Very Good
Ghaziabad,24.5,1 - Very Good
Ghaziabad,24.7,1 - Very Good
Ghaziabad,25.7,1 - Very Good
Ghaziabad,26.4,1 - Very Good
Ghaziabad,26.8,1 - Very Good
Ghaziabad,26.9,1 - Very Good
Ghaziabad,27.0,1 - Very Good
